signal_id,junction_id,green_time_sec,yellow_time_sec,red_time_sec,adaptive_mode,current_status,last_updated
S0001,J0001,25,4,25,True,Yellow,2026-07-30T23:44:00
S0002,J0002,35,3,25,True,Red,2026-07-30T02:22:00
S0003,J0003,40,4,30,True,Yellow,2026-07-30T23:56:00
S0004,J0004,60,5,35,False,Green,2026-07-29T15:44:00
S0005,J0005,35,3,40,False,Green,2026-07-29T14:48:00
S0006,J0006,45,4,30,False,Yellow,2026-07-31T21:49:00
S0007,J0007,25,4,40,True,Yellow,2026-07-29T06:03:00
S0008,J0008,60,4,20,True,Yellow,2026-07-31T10:53:00
S0009,J0010,25,5,30,False,Red,2026-07-29T17:00:00
S0010,J0011,60,4,40,False,Red,2026-07-31T07:45:00
S0011,J0012,35,4,30,True,Green,2026-07-31T09:24:00
S0012,J0013,60,4,25,False,Yellow,2026-07-29T00:03:00
S0013,J0014,35,4,25,False,Red,2026-07-30T19:59:00
S0014,J0015,40,4,35,True,Red,2026-07-31T16:36:00
S0015,J0016,60,3,20,False,Red,2026-07-30T21:45:00
S0016,J0018,25,3,30,True,Green,2026-07-29T20:07:00
S0017,J0020,25,3,25,False,Red,2026-07-29T09:56:00
S0018,J0021,40,4,40,True,Red,2026-07-31T04:25:00
S0019,J0022,40,4,25,True,Red,2026-07-29T00:45:00
S0020,J0024,25,4,25,True,Red,2026-07-31T22:43:00
S0021,J0025,40,3,40,True,Green,2026-07-31T14:19:00
S0022,J0026,30,4,40,False,Yellow,2026-07-31T20:55:00
S0023,J0027,40,5,35,True,Red,2026-07-31T16:48:00
S0024,J0028,40,4,25,False,Red,2026-07-31T18:09:00
S0025,J0029,60,3,30,False,Green,2026-07-30T15:00:00
S0026,J0030,30,4,30,False,Red,2026-07-29T11:00:00
