vehicle_id,vehicle_type,gps_lat,gps_long,current_speed_kmph,lane,source,destination,priority_level,fuel_type
V000001,Car,12.985529,77.622209,25.2,4,J0001,J0013,Normal,CNG
V000002,Bike,12.978982,77.612191,30.3,4,J0020,J0018,Normal,Petrol
V000003,Bike,12.969874,77.592519,30.9,4,J0021,J0014,Normal,Petrol
V000004,Car,13.009002,77.610212,24.9,4,J0007,J0015,Normal,Petrol
V000005,Ambulance,12.891618,77.677009,20.1,1,J0009,J0027,Emergency,Diesel
V000006,Bike,12.961667,77.576839,34.6,1,J0012,J0008,Normal,Electric
V000007,Ambulance,12.95515,77.575896,41.6,2,J0027,J0001,Emergency,Diesel
V000008,Bus,13.006214,77.628283,36.1,3,J0019,J0007,Normal,CNG
V000009,Car,12.982155,77.638629,23.1,2,J0024,J0023,Normal,Electric
V000010,Car,12.978952,77.570281,23.8,4,J0030,J0010,Normal,Petrol
V000011,Bike,12.996279,77.606872,28.1,2,J0019,J0023,Normal,Petrol
V000012,Bike,13.011152,77.577329,42.5,1,J0020,J0026,Normal,Petrol
V000013,Bus,12.998816,77.599969,21.3,1,J0003,J0017,Normal,CNG
V000014,Bike,13.002268,77.543489,32.8,4,J0014,J0012,Normal,Petrol
V000015,Bus,12.964943,77.631434,36.7,4,J0017,J0021,Normal,Diesel
V000016,Bike,12.917973,77.65651,27.3,1,J0009,J0011,Normal,Petrol
V000017,Bus,12.938784,77.640202,27.5,4,J0015,J0019,Normal,Diesel
V000018,Truck,13.012101,77.610245,40.6,3,J0006,J0016,Normal,Diesel
V000019,Bike,12.968743,77.642995,19.2,2,J0029,J0009,Normal,Petrol
V000020,Bike,12.985357,77.619168,29.5,4,J0018,J0025,Normal,Petrol
V000021,Truck,12.977392,77.570852,35.6,2,J0003,J0010,Normal,Diesel
V000022,Bike,12.921812,77.659519,33.6,3,J0018,J0017,Normal,Petrol
V000023,Bus,12.968354,77.619488,37.2,2,J0009,J0008,Normal,Diesel
V000024,Bike,12.941519,77.63976,33.1,4,J0023,J0006,Normal,Petrol
V000025,Bike,12.943044,77.642114,33.7,1,J0017,J0020,Normal,Electric
V000026,Car,12.998412,77.595042,43.4,2,J0006,J0010,Normal,Petrol
V000027,Fire Truck,13.03152,77.61339,24.3,2,J0010,J0023,Emergency,Diesel
V000028,Bike,12.998674,77.544869,25.6,4,J0028,J0001,Normal,Petrol
V000029,Car,12.959308,77.571166,38.9,1,J0009,J0028,Normal,Petrol
V000030,Car,12.979698,77.598954,15.9,3,J0022,J0002,Normal,Petrol
V000031,Car,13.033054,77.614829,32.6,2,J0025,J0014,Normal,CNG
V000032,Car,12.9571,77.625576,21.2,4,J0010,J0028,Normal,Petrol
V000033,Bike,12.9083,77.641505,28.5,2,J0024,J0004,High,Petrol
V000034,Car,12.975643,77.59904,25.5,1,J0006,J0008,Normal,Petrol
V000035,Car,12.970184,77.637242,11.7,2,J0020,J0016,Normal,Petrol
V000036,Car,12.928897,77.612507,33.9,3,J0003,J0022,Normal,CNG
V000037,Bike,12.940577,77.638469,33.0,1,J0026,J0030,Normal,Petrol
V000038,Bike,13.008945,77.643299,36.7,2,J0027,J0005,Normal,Electric
V000039,Bike,12.973901,77.569244,45.7,4,J0030,J0010,Normal,Petrol
V000040,Bike,13.015333,77.6472,32.0,1,J0017,J0018,Normal,Petrol
V000041,Bike,12.943543,77.614776,49.2,1,J0011,J0020,Normal,Petrol
V000042,Bike,12.971467,77.573068,38.3,3,J0019,J0001,High,Petrol
V000043,Bike,12.974616,77.582323,32.4,3,J0016,J0017,Normal,Petrol
V000044,Bike,12.97705,77.59986,35.7,4,J0027,J0016,High,Petrol
V000045,Car,12.940493,77.64201,29.5,4,J0004,J0028,Normal,Diesel
V000046,Car,12.99751,77.622479,19.5,4,J0027,J0025,Normal,Petrol
V000047,Car,13.00949,77.632193,46.4,1,J0025,J0013,Normal,Diesel
V000048,Truck,12.891191,77.676414,17.6,4,J0002,J0007,Normal,Diesel
V000049,Bike,12.962258,77.55468,30.0,3,J0009,J0018,Normal,Petrol
V000050,Bike,13.012987,77.629945,22.0,2,J0001,J0021,Normal,Petrol
V000051,Car,12.97253,77.589562,47.9,1,J0018,J0014,Normal,Petrol
V000052,Car,12.96185,77.642869,19.6,3,J0016,J0030,Normal,Petrol
V000053,Truck,12.919506,77.659722,34.8,4,J0008,J0015,Normal,Diesel
V000054,Bike,12.946945,77.61298,21.8,3,J0029,J0005,Normal,Electric
V000055,Bike,12.925904,77.658849,22.1,1,J0030,J0026,Normal,Petrol
V000056,Car,12.920649,77.660449,40.5,2,J0019,J0022,Normal,Petrol
V000057,Truck,12.927215,77.654695,40.1,4,J0018,J0025,Normal,CNG
V000058,Bike,12.969828,77.64153,34.3,4,J0008,J0019,Normal,Petrol
V000059,Bike,12.994175,77.637366,27.8,2,J0030,J0026,Normal,Petrol
V000060,Car,12.965411,77.68389,33.2,4,J0019,J0011,Normal,Petrol
V000061,Bike,12.974871,77.591233,25.8,2,J0024,J0005,Normal,Petrol
V000062,Bike,12.940657,77.635824,39.0,1,J0011,J0020,Normal,Electric
V000063,Bike,12.946687,77.587458,41.1,4,J0013,J0011,Normal,Electric
V000064,Car,12.994778,77.603019,32.2,3,J0008,J0021,Normal,Electric
V000065,Bike,12.979535,77.60981,31.2,1,J0004,J0025,Normal,Petrol
V000066,Bike,12.976871,77.56882,26.7,3,J0002,J0011,Normal,Petrol
V000067,Bus,12.937887,77.612733,21.9,2,J0017,J0014,Normal,Diesel
V000068,Car,12.982834,77.573183,19.9,2,J0020,J0022,Normal,Petrol
V000069,Bike,12.925845,77.616275,27.9,4,J0009,J0022,Normal,Electric
V000070,Bike,12.946001,77.652421,19.0,3,J0003,J0015,High,Petrol
V000071,Bus,12.940976,77.634696,23.7,4,J0015,J0028,Normal,CNG
V000072,Car,12.981447,77.567675,28.8,3,J0019,J0012,Normal,Petrol
V000073,Bike,12.993011,77.628692,30.4,1,J0009,J0001,Normal,Electric
V000074,Bike,13.007414,77.575609,22.9,3,J0025,J0026,Normal,Petrol
V000075,Car,12.946334,77.636182,17.5,2,J0022,J0025,Normal,Diesel
V000076,Bike,12.96578,77.6583,13.9,1,J0002,J0010,Normal,Petrol
V000077,Bike,12.976051,77.5957,20.8,4,J0030,J0010,Normal,Petrol
V000078,Car,12.947521,77.587545,29.9,3,J0029,J0012,Normal,CNG
V000079,Car,12.919027,77.660919,31.8,3,J0026,J0010,Normal,CNG
V000080,Bus,12.992114,77.603883,22.0,4,J0005,J0025,High,Electric
V000081,Bike,12.99726,77.597005,31.2,3,J0003,J0026,Normal,Petrol
V000082,Bus,13.017287,77.574548,23.7,4,J0024,J0022,Normal,CNG
V000083,Ambulance,12.996738,77.548234,38.9,4,J0022,J0008,Emergency,Diesel
