ambulance_id,hospital_id,destination_road_id,priority,current_location_lat,current_location_long,eta_min,status
AMB0001,H001,R0005,Standby,12.963356,77.581131,0.0,Available
AMB0002,H001,R0044,Standby,12.959751,77.575075,0.0,Available
AMB0003,H001,R0025,Critical,12.980099,77.574237,11.7,En Route
AMB0004,H002,R0013,Critical,12.953152,77.574682,4.0,En Route
AMB0005,H002,R0017,Critical,12.944917,77.63431,16.2,Dispatched
AMB0006,H002,R0021,Standby,12.94408,77.593898,0.0,Available
AMB0007,H003,R0030,Standby,12.932377,77.617736,0.0,Arrived
AMB0008,H003,R0005,Critical,12.999636,77.609352,19.3,Dispatched
AMB0009,H003,R0046,Standby,12.962011,77.645509,0.0,Available
AMB0010,H004,R0009,Standby,12.978113,77.616762,0.0,Arrived
AMB0011,H004,R0018,Standby,12.888234,77.599915,0.0,Available
AMB0012,H005,R0011,Standby,12.902899,77.599567,0.0,Available
AMB0013,H005,R0039,Critical,12.976446,77.641368,24.9,Dispatched
AMB0014,H005,R0008,Standby,13.007969,77.626626,0.0,Arrived
AMB0015,H005,R0026,Critical,12.997193,77.628716,22.7,Dispatched
AMB0016,H005,R0044,Critical,13.01229,77.574601,7.8,En Route
AMB0017,H006,R0023,Critical,12.980924,77.68732,3.1,Dispatched
AMB0018,H006,R0044,Standby,13.013403,77.579259,0.0,Arrived
AMB0019,H006,R0029,Standby,12.927065,77.62001,0.0,Available
AMB0020,H006,R0041,Standby,12.925695,77.627362,0.0,Available
AMB0021,H006,R0042,Standby,12.92401,77.624168,0.0,Available
AMB0022,H006,R0043,Standby,12.924505,77.622091,0.0,Available
AMB0023,H007,R0025,Standby,12.966505,77.747176,0.0,Available
AMB0024,H007,R0029,Critical,12.959334,77.6304,16.0,Dispatched
AMB0025,H007,R0004,Standby,12.969879,77.74541,0.0,Available
AMB0026,H007,R0050,Critical,13.013498,77.592978,15.7,En Route
AMB0027,H007,R0024,Standby,12.97221,77.746591,0.0,Available
AMB0028,H008,R0013,Critical,12.95509,77.572947,7.2,Dispatched
AMB0029,H008,R0002,Standby,12.928419,77.685978,0.0,Available
AMB0030,H008,R0022,Standby,12.923244,77.67873,0.0,Available
