incident_id,road_id,incident_type,severity,start_time,expected_clear_time
INC00001,R0019,Accident,Minor,2026-07-31T06:53:00,2026-07-31T07:10:00
INC00002,R0040,Construction,Minor,2026-07-29T12:56:00,2026-07-29T13:24:00
INC00003,R0022,Accident,Moderate,2026-07-31T16:53:00,2026-07-31T17:40:00
INC00004,R0014,Accident,Minor,2026-07-30T17:12:00,2026-07-30T17:38:00
INC00005,R0020,Vehicle Breakdown,Moderate,2026-07-30T03:19:00,2026-07-30T04:05:00
INC00006,R0026,Accident,Moderate,2026-07-30T00:39:00,2026-07-30T01:00:00
INC00007,R0041,Construction,Severe,2026-07-31T20:09:00,2026-07-31T21:21:00
INC00008,R0043,Tree Fall,Moderate,2026-07-31T15:48:00,2026-07-31T16:25:00
INC00009,R0041,Vehicle Breakdown,Moderate,2026-07-31T11:13:00,2026-07-31T12:09:00
INC00010,R0047,Construction,Moderate,2026-07-31T01:44:00,2026-07-31T02:33:00
INC00011,R0010,Accident,Moderate,2026-07-30T16:59:00,2026-07-30T17:46:00
INC00012,R0027,Accident,Severe,2026-07-29T08:47:00,2026-07-29T09:58:00
INC00013,R0027,Accident,Minor,2026-07-29T21:55:00,2026-07-29T22:13:00
INC00014,R0044,Construction,Minor,2026-07-29T15:30:00,2026-07-29T15:44:00
INC00015,R0013,Accident,Severe,2026-07-30T18:23:00,2026-07-30T20:07:00
INC00016,R0032,Vehicle Breakdown,Minor,2026-07-29T05:03:00,2026-07-29T05:19:00
INC00017,R0011,Accident,Minor,2026-07-30T13:55:00,2026-07-30T14:22:00
INC00018,R0012,Construction,Minor,2026-07-31T18:20:00,2026-07-31T18:30:00
INC00019,R0004,Flood,Minor,2026-07-30T16:41:00,2026-07-30T16:53:00
INC00020,R0027,Tree Fall,Moderate,2026-07-29T12:19:00,2026-07-29T13:04:00
INC00021,R0047,Flood,Minor,2026-07-31T20:18:00,2026-07-31T20:31:00
INC00022,R0034,Construction,Moderate,2026-07-31T23:42:00,2026-08-01T00:18:00
INC00023,R0032,Tree Fall,Minor,2026-07-29T16:41:00,2026-07-29T17:01:00
INC00024,R0022,Flood,Moderate,2026-07-30T08:12:00,2026-07-30T08:59:00
INC00025,R0014,Accident,Minor,2026-07-30T13:29:00,2026-07-30T13:53:00
INC00026,R0027,Accident,Moderate,2026-07-31T18:57:00,2026-07-31T19:51:00
INC00027,R0024,Construction,Minor,2026-07-31T09:51:00,2026-07-31T10:16:00
INC00028,R0044,Accident,Minor,2026-07-29T19:47:00,2026-07-29T20:08:00
INC00029,R0031,Construction,Severe,2026-07-29T02:52:00,2026-07-29T03:41:00
INC00030,R0048,Construction,Critical,2026-07-30T08:43:00,2026-07-30T11:17:00
