camera_id,road_id,camera_angle_deg,fps,resolution,status
CAM0001,R0001,45,24,4K,Active
CAM0002,R0001,90,30,4K,Active
CAM0003,R0002,45,24,720p,Active
CAM0004,R0002,90,24,4K,Maintenance
CAM0005,R0003,315,15,720p,Active
CAM0006,R0003,180,24,720p,Active
CAM0007,R0004,315,30,4K,Active
CAM0008,R0004,270,30,4K,Active
CAM0009,R0005,180,15,720p,Active
CAM0010,R0005,45,30,720p,Active
CAM0011,R0006,45,24,4K,Active
CAM0012,R0006,180,60,720p,Active
CAM0013,R0007,225,30,4K,Active
CAM0014,R0007,315,30,720p,Active
CAM0015,R0008,225,30,720p,Active
CAM0016,R0008,225,15,4K,Active
CAM0017,R0009,0,60,720p,Inactive
CAM0018,R0009,90,60,4K,Inactive
CAM0019,R0010,315,60,4K,Active
CAM0020,R0010,45,15,4K,Active
CAM0021,R0011,45,30,1080p,Active
CAM0022,R0011,225,60,720p,Active
CAM0023,R0012,0,15,1080p,Active
CAM0024,R0012,135,60,720p,Active
CAM0025,R0013,0,30,4K,Inactive
CAM0026,R0013,225,24,720p,Active
CAM0027,R0014,180,24,720p,Maintenance
CAM0028,R0014,225,15,1080p,Active
CAM0029,R0015,135,15,720p,Maintenance
CAM0030,R0015,270,15,1080p,Active
CAM0031,R0016,315,24,4K,Active
CAM0032,R0016,90,15,4K,Active
CAM0033,R0017,45,24,1080p,Inactive
CAM0034,R0017,135,30,720p,Active
CAM0035,R0018,0,30,4K,Active
CAM0036,R0018,315,15,1080p,Active
CAM0037,R0019,0,30,1080p,Active
CAM0038,R0019,270,30,720p,Active
CAM0039,R0020,315,60,1080p,Active
CAM0040,R0020,0,24,720p,Active
CAM0041,R0021,270,60,1080p,Active
CAM0042,R0021,135,30,720p,Inactive
CAM0043,R0022,0,24,4K,Active
CAM0044,R0022,45,24,720p,Active
CAM0045,R0023,180,15,4K,Active
CAM0046,R0023,0,60,1080p,Active
CAM0047,R0024,225,30,720p,Active
CAM0048,R0024,135,30,720p,Active
CAM0049,R0025,135,15,4K,Active
CAM0050,R0025,45,60,4K,Active
CAM0051,R0026,0,15,1080p,Active
CAM0052,R0026,45,24,720p,Inactive
CAM0053,R0027,315,15,1080p,Active
CAM0054,R0027,270,15,720p,Active
CAM0055,R0028,0,30,1080p,Active
CAM0056,R0028,270,24,4K,Active
CAM0057,R0029,0,60,1080p,Active
CAM0058,R0029,270,15,1080p,Active
CAM0059,R0030,0,60,4K,Active
CAM0060,R0030,135,15,720p,Active
CAM0061,R0031,45,24,4K,Active
CAM0062,R0031,180,30,1080p,Active
CAM0063,R0032,315,24,720p,Active
CAM0064,R0032,0,15,720p,Active
CAM0065,R0033,270,30,1080p,Active
CAM0066,R0033,90,24,1080p,Active
CAM0067,R0034,225,30,1080p,Maintenance
CAM0068,R0034,90,15,720p,Active
CAM0069,R0035,0,60,1080p,Active
CAM0070,R0035,135,24,720p,Active
CAM0071,R0036,315,60,4K,Active
CAM0072,R0036,225,30,1080p,Active
CAM0073,R0037,45,60,720p,Active
CAM0074,R0037,0,24,4K,Active
CAM0075,R0038,135,24,1080p,Active
CAM0076,R0038,225,60,720p,Active
CAM0077,R0039,0,30,720p,Active
CAM0078,R0039,0,15,720p,Active
CAM0079,R0040,135,30,720p,Maintenance
CAM0080,R0040,135,24,1080p,Active
CAM0081,R0041,180,24,1080p,Active
CAM0082,R0041,135,24,720p,Active
CAM0083,R0042,180,15,720p,Active
CAM0084,R0042,90,60,4K,Active
CAM0085,R0043,45,30,720p,Active
CAM0086,R0043,135,30,1080p,Active
CAM0087,R0044,270,15,720p,Active
CAM0088,R0044,90,24,720p,Active
CAM0089,R0045,225,30,4K,Active
CAM0090,R0045,135,15,4K,Active
CAM0091,R0046,180,24,1080p,Active
CAM0092,R0046,180,24,4K,Maintenance
CAM0093,R0047,315,24,4K,Active
CAM0094,R0047,315,15,720p,Active
CAM0095,R0048,225,60,4K,Active
CAM0096,R0048,225,30,4K,Active
CAM0097,R0049,315,60,1080p,Active
CAM0098,R0049,0,24,720p,Inactive
CAM0099,R0050,315,24,1080p,Active
CAM0100,R0050,270,60,4K,Active
