sensor_id,road_id,timestamp,traffic_density_pct,vehicle_count,average_speed_kmph,occupancy_pct,air_quality_aqi,noise_level_db
IOT0001,R0001,2026-07-29T00:00:00,11.9,210,40.2,12.0,61,58.8
IOT0002,R0002,2026-07-29T00:00:00,14.0,236,27.5,13.0,78,54.2
IOT0003,R0003,2026-07-29T00:00:00,13.4,628,28.2,13.7,64,56.5
IOT0004,R0004,2026-07-29T00:00:00,16.2,378,43.9,15.4,72,58.5
IOT0005,R0005,2026-07-29T00:00:00,11.6,165,44.7,12.6,80,66.9
IOT0006,R0006,2026-07-29T00:00:00,14.3,239,23.6,12.9,80,65.9
IOT0007,R0007,2026-07-29T00:00:00,11.7,191,36.9,12.6,64,61.8
IOT0008,R0008,2026-07-29T00:00:00,13.3,138,46.9,13.1,91,60.8
IOT0009,R0009,2026-07-29T00:00:00,14.4,379,43.4,14.3,71,57.1
IOT0010,R0010,2026-07-29T00:00:00,11.9,128,22.1,13.1,56,59.5
IOT0011,R0011,2026-07-29T00:00:00,14.7,616,37.6,14.8,63,58.3
IOT0012,R0012,2026-07-29T00:00:00,13.3,203,42.5,14.0,36,64.1
IOT0013,R0013,2026-07-29T00:00:00,15.4,177,40.7,16.1,111,61.5
IOT0014,R0014,2026-07-29T00:00:00,12.2,313,31.8,13.1,71,58.1
IOT0015,R0015,2026-07-29T00:00:00,12.5,144,37.5,13.6,70,58.6
IOT0016,R0016,2026-07-29T00:00:00,16.1,294,41.7,17.7,67,54.3
IOT0017,R0017,2026-07-29T00:00:00,16.0,229,23.2,17.1,98,51.7
IOT0018,R0018,2026-07-29T00:00:00,14.5,777,36.3,13.1,60,62.8
IOT0019,R0019,2026-07-29T00:00:00,14.0,231,76.0,15.1,90,59.7
IOT0020,R0020,2026-07-29T00:00:00,15.0,317,23.1,15.8,52,66.6
IOT0021,R0021,2026-07-29T00:00:00,15.5,232,29.4,14.2,79,65.5
IOT0022,R0022,2026-07-29T00:00:00,13.5,170,72.9,13.1,71,62.1
IOT0023,R0023,2026-07-29T00:00:00,12.6,173,23.6,11.9,93,62.7
IOT0024,R0024,2026-07-29T00:00:00,13.9,201,35.9,13.0,65,62.3
IOT0025,R0025,2026-07-29T00:00:00,13.0,174,41.6,14.2,95,57.7
IOT0026,R0026,2026-07-29T00:00:00,11.3,171,32.5,12.0,43,60.4
IOT0027,R0027,2026-07-29T00:00:00,13.3,239,23.1,13.3,70,54.6
IOT0028,R0028,2026-07-29T00:00:00,14.6,233,23.1,14.4,81,55.7
IOT0029,R0029,2026-07-29T00:00:00,13.3,439,38.8,12.0,41,57.3
IOT0030,R0030,2026-07-29T00:00:00,16.3,280,26.9,14.7,44,61.5
IOT0031,R0031,2026-07-29T00:00:00,14.6,376,37.8,14.3,57,57.2
IOT0032,R0032,2026-07-29T00:00:00,16.0,644,34.6,16.6,76,57.3
IOT0033,R0033,2026-07-29T00:00:00,12.4,175,21.8,12.3,88,60.9
IOT0034,R0034,2026-07-29T00:00:00,13.4,170,70.4,13.2,93,59.9
IOT0035,R0035,2026-07-29T00:00:00,13.4,209,30.9,13.2,63,65.0
IOT0036,R0036,2026-07-29T00:00:00,11.7,282,22.3,11.3,60,60.7
IOT0037,R0037,2026-07-29T00:00:00,11.4,353,38.7,10.8,60,55.3
IOT0038,R0038,2026-07-29T00:00:00,12.1,148,28.8,12.8,90,60.3
IOT0039,R0039,2026-07-29T00:00:00,15.5,215,78.3,16.5,50,65.1
IOT0040,R0040,2026-07-29T00:00:00,12.5,603,23.7,11.7,84,61.9
IOT0041,R0041,2026-07-29T00:00:00,13.4,202,27.7,13.4,89,59.4
IOT0042,R0042,2026-07-29T00:00:00,14.1,236,72.7,15.1,85,65.1
IOT0043,R0043,2026-07-29T00:00:00,14.2,419,27.3,13.1,82,55.0
IOT0044,R0044,2026-07-29T00:00:00,12.9,228,20.8,11.7,88,62.2
IOT0045,R0045,2026-07-29T00:00:00,13.3,174,23.9,12.3,59,64.9
IOT0046,R0046,2026-07-29T00:00:00,12.7,277,61.8,12.5,51,58.4
IOT0047,R0047,2026-07-29T00:00:00,15.8,484,28.6,16.7,97,58.4
IOT0048,R0048,2026-07-29T00:00:00,11.6,138,22.4,12.6,65,59.3
IOT0049,R0049,2026-07-29T00:00:00,15.3,693,42.0,15.5,67,62.0
IOT0050,R0050,2026-07-29T00:00:00,15.4,397,23.4,16.6,38,57.3
IOT0001,R0001,2026-07-29T01:00:00,7.7,135,48.5,8.4,83,57.4
IOT0002,R0002,2026-07-29T01:00:00,7.3,123,38.2,7.3,98,59.2
IOT0003,R0003,2026-07-29T01:00:00,8.2,383,36.2,7.4,77,58.3
IOT0004,R0004,2026-07-29T01:00:00,7.9,184,55.2,7.4,79,57.1
IOT0005,R0005,2026-07-29T01:00:00,8.4,119,57.3,8.3,109,59.8
IOT0006,R0006,2026-07-29T01:00:00,7.1,119,26.2,6.5,86,57.5
IOT0007,R0007,2026-07-29T01:00:00,7.7,126,45.2,8.1,99,52.7
