bus_id,route,current_location_lat,current_location_long,current_road_id,occupancy_pct,eta_min
BMTC0001,KBS-3A,12.995304,77.594319,R0024,80,17.4
BMTC0002,500C,12.975468,77.594097,R0006,20,22.1
BMTC0003,MF-1C,13.006916,77.580662,R0019,76,7.7
BMTC0004,G4,12.973044,77.686399,R0023,84,20.7
BMTC0005,MF-1C,12.990827,77.672433,R0003,75,16.9
BMTC0006,401M,12.909192,77.643289,R0040,64,4.4
BMTC0007,MF-1C,12.955557,77.625671,R0029,65,10.4
BMTC0008,401M,12.886042,77.682297,R0027,73,13.6
BMTC0009,KBS-3A,13.01141,77.605156,R0021,58,6.5
BMTC0010,500C,12.973891,77.568326,R0002,66,20.3
BMTC0011,KBS-3A,12.949232,77.582288,R0015,92,2.6
BMTC0012,401M,12.9923,77.609012,R0005,20,11.7
BMTC0013,342,13.007573,77.580416,R0019,74,4.2
BMTC0014,600,12.963828,77.682487,R0033,92,18.3
BMTC0015,290F,12.972858,77.591852,R0006,45,1.3
BMTC0016,500K,12.948445,77.580725,R0015,25,6.5
BMTC0017,401M,12.99502,77.603903,R0005,14,3.5
BMTC0018,G4,12.951298,77.584978,R0035,52,23.4
BMTC0019,356E,12.952656,77.576767,R0013,52,5.9
BMTC0020,KBS-3A,12.944779,77.629641,R0017,97,1.0
BMTC0021,G4,13.015146,77.645736,R0018,100,23.2
BMTC0022,500C,12.977042,77.638106,R0039,79,10.6
BMTC0023,500D,12.94548,77.63313,R0017,48,23.2
BMTC0024,342,13.001968,77.580624,R0019,54,8.9
BMTC0025,252F,12.993871,77.6262,R0026,84,13.1
BMTC0026,356E,12.938524,77.637363,R0049,11,10.8
BMTC0027,356E,12.922206,77.65971,R0031,75,4.6
BMTC0028,500C,12.937463,77.64351,R0049,60,23.6
BMTC0029,G4,12.950009,77.588611,R0015,36,17.2
BMTC0030,G4,12.919487,77.658112,R0031,76,23.0
BMTC0031,290F,12.920657,77.660174,R0038,80,22.6
BMTC0032,MF-1C,12.941012,77.636136,R0049,69,5.5
BMTC0033,290F,12.925492,77.654785,R0022,20,10.9
BMTC0034,342,13.005558,77.606011,R0021,34,11.7
BMTC0035,290F,12.974651,77.608963,R0028,99,11.3
BMTC0036,G4,12.891077,77.682609,R0027,66,3.6
BMTC0037,342,12.952911,77.631715,R0029,81,13.2
BMTC0038,401M,12.977947,77.566955,R0002,27,20.9
BMTC0039,342,12.97601,77.572089,R0037,26,3.5
BMTC0040,201,12.968579,77.618522,R0020,11,19.0
BMTC0041,290F,12.98453,77.621413,R0032,94,4.3
BMTC0042,401M,12.974818,77.684093,R0023,38,7.4
BMTC0043,252F,12.891212,77.679976,R0027,97,3.6
BMTC0044,252F,12.942676,77.64314,R0049,98,4.9
BMTC0045,KBS-3A,12.948903,77.583029,R0035,51,12.0
BMTC0046,500D,12.917913,77.656262,R0038,82,1.7
BMTC0047,500BC,12.997693,77.674438,R0003,27,13.0
BMTC0048,401M,12.957388,77.644095,R0010,82,10.1
BMTC0049,290F,12.975996,77.599784,R0041,87,7.6
BMTC0050,V-500,12.975811,77.639937,R0039,60,21.2
BMTC0051,G4,12.977724,77.567128,R0025,60,6.9
BMTC0052,600,12.999502,77.609562,R0005,59,15.3
BMTC0053,MF-1C,12.957323,77.574912,R0013,23,24.6
BMTC0054,V-500,12.927329,77.655197,R0022,67,16.3
BMTC0055,500BC,12.976142,77.601083,R0041,48,8.3
BMTC0056,500C,12.974777,77.593439,R0006,23,2.2
BMTC0057,600,13.016887,77.578615,R0044,32,24.3
BMTC0058,342,12.995573,77.674902,R0003,98,14.4
BMTC0059,MF-1C,12.975379,77.636998,R0039,13,7.9
BMTC0060,G4,12.977944,77.582924,R0012,18,23.1
BMTC0061,KBS-3A,12.980683,77.572591,R0025,36,3.6
BMTC0062,KBS-3A,12.948292,77.588319,R0015,94,7.4
BMTC0063,500K,12.979158,77.649077,R0034,68,4.1
BMTC0064,401M,12.96093,77.576006,R0004,76,11.9
BMTC0065,500C,12.973294,77.586176,R0001,51,20.3
BMTC0066,252F,12.892194,77.675284,R0027,30,10.2
BMTC0067,500C,13.006015,77.631678,R0008,78,18.7
BMTC0068,MF-1C,12.893137,77.677002,R0027,18,12.0
BMTC0069,500BC,12.977977,77.569836,R0025,36,13.5
BMTC0070,342,12.974558,77.617836,R0009,36,14.0
