road_id,date,vehicle_count,fuel_consumption_l,estimated_co2_kg,aqi
R0001,2026-07-29,19125,5043.3,11851.8,122
R0002,2026-07-29,17921,2725.8,6405.6,121
R0003,2026-07-29,48966,18641.4,43807.3,120
R0004,2026-07-29,24370,12150.9,28554.6,120
R0005,2026-07-29,15625,3557.8,8360.8,123
R0006,2026-07-29,18192,7023.9,16506.2,123
R0007,2026-07-29,18065,5527.9,12990.6,124
R0008,2026-07-29,11669,4389.9,10316.3,125
R0009,2026-07-29,27841,2931.7,6889.5,121
R0010,2026-07-29,11825,2703.2,6352.5,123
R0011,2026-07-29,46018,6212.4,14599.1,123
R0012,2026-07-29,16134,3310.7,7780.1,121
R0013,2026-07-29,12212,4308.4,10124.7,122
R0014,2026-07-29,27861,15446.1,36298.3,122
R0015,2026-07-29,12520,1464.8,3442.3,122
R0016,2026-07-29,19936,5418.6,12733.7,123
R0017,2026-07-29,15161,3274.8,7695.8,121
R0018,2026-07-29,59172,6497.1,15268.2,124
R0019,2026-07-29,18145,1355.4,3185.2,123
R0020,2026-07-29,22316,10443.9,24543.2,121
R0021,2026-07-29,16485,8486.5,19943.3,123
R0022,2026-07-29,14083,3257.4,7654.9,124
R0023,2026-07-29,15152,7991.2,18779.3,124
R0024,2026-07-29,15796,7307.2,17171.9,123
R0025,2026-07-29,15314,5209.8,12243.0,125
R0026,2026-07-29,15963,1407.9,3308.6,121
R0027,2026-07-29,19680,10574.1,24849.1,123
R0028,2026-07-29,17760,3356.6,7888.0,124
R0029,2026-07-29,36816,20212.0,47498.2,124
R0030,2026-07-29,18481,8948.5,21029.0,122
R0031,2026-07-29,29142,14163.0,33283.0,125
R0032,2026-07-29,43972,8310.7,19530.1,123
R0033,2026-07-29,14892,1125.8,2645.6,121
R0034,2026-07-29,13470,1794.2,4216.4,121
R0035,2026-07-29,16855,5703.7,13403.7,122
R0036,2026-07-29,25901,14662.6,34457.1,122
R0037,2026-07-29,33937,7391.5,17370.0,124
R0038,2026-07-29,13274,1302.2,3060.2,122
R0039,2026-07-29,14791,2169.8,5099.0,122
R0040,2026-07-29,52854,22024.3,51757.1,122
R0041,2026-07-29,16450,4293.4,10089.5,123
R0042,2026-07-29,18026,2125.3,4994.5,123
R0043,2026-07-29,32282,2992.5,7032.4,123
R0044,2026-07-29,18982,6355.2,14934.7,122
R0045,2026-07-29,13584,5794.9,13618.0,120
R0046,2026-07-29,22780,5617.5,13201.1,120
R0047,2026-07-29,36030,7360.9,17298.1,127
R0048,2026-07-29,12708,4369.0,10267.2,122
R0049,2026-07-29,49124,26217.5,61611.1,123
R0050,2026-07-29,27683,12307.9,28923.6,122
R0001,2026-07-30,20255,5341.2,12551.8,127
R0002,2026-07-30,18603,2829.5,6649.3,124
R0003,2026-07-30,54117,20602.3,48415.4,127
R0004,2026-07-30,26799,13362.0,31400.7,126
R0005,2026-07-30,15882,3616.3,8498.3,125
R0006,2026-07-30,18570,7169.9,16849.3,124
R0007,2026-07-30,17873,5469.1,12852.4,124
R0008,2026-07-30,12273,4617.1,10850.2,129
R0009,2026-07-30,28822,3035.0,7132.2,123
R0010,2026-07-30,12403,2835.3,6663.0,127
R0011,2026-07-30,48821,6590.8,15488.4,127
R0012,2026-07-30,16825,3452.5,8113.4,123
R0013,2026-07-30,13061,4607.9,10828.6,126
R0014,2026-07-30,28958,16054.3,37727.6,125
R0015,2026-07-30,13141,1537.5,3613.1,126
R0016,2026-07-30,20369,5536.3,13010.3,125
R0017,2026-07-30,16476,3558.8,8363.2,126
R0018,2026-07-30,61082,6706.8,15761.0,126
R0019,2026-07-30,18614,1390.5,3267.7,125
R0020,2026-07-30,23986,11225.4,26379.7,125
R0021,2026-07-30,17141,8824.2,20736.9,126
R0022,2026-07-30,14191,3282.4,7713.6,125
R0023,2026-07-30,16377,8637.2,20297.4,129
R0024,2026-07-30,15938,7372.9,17326.3,123
R0025,2026-07-30,15247,5187.0,12189.4,126
R0026,2026-07-30,16766,1478.8,3475.2,124
R0027,2026-07-30,20182,10843.8,25482.9,125
R0028,2026-07-30,17948,3392.2,7971.7,125
R0029,2026-07-30,38154,20946.5,49224.3,126
R0030,2026-07-30,18668,9039.0,21241.6,123
R0031,2026-07-30,28560,13880.2,32618.5,124
R0032,2026-07-30,45711,8639.4,20302.6,126
R0033,2026-07-30,15798,1194.3,2806.6,125
R0034,2026-07-30,14505,1932.1,4540.4,126
R0035,2026-07-30,18052,6108.8,14355.7,127
R0036,2026-07-30,27901,15794.8,37117.8,127
R0037,2026-07-30,32052,6980.9,16405.1,120
R0038,2026-07-30,13518,1326.1,3116.3,124
R0039,2026-07-30,15401,2259.3,5309.4,124
R0040,2026-07-30,54959,22901.4,53818.3,126
R0041,2026-07-30,17515,4571.4,10742.8,127
R0042,2026-07-30,18769,2212.9,5200.3,125
R0043,2026-07-30,32589,3021.0,7099.4,124
R0044,2026-07-30,19758,6615.0,15545.2,125
R0045,2026-07-30,14333,6114.5,14369.1,123
R0046,2026-07-30,24158,5957.4,13999.9,124
R0047,2026-07-30,34459,7040.0,16544.0,125
R0048,2026-07-30,13457,4626.5,10872.3,125
R0049,2026-07-30,48846,26069.1,61262.4,122
R0050,2026-07-30,28210,12542.2,29474.2,123
R0001,2026-07-31,18848,4970.2,11680.0,122
R0002,2026-07-31,18729,2848.7,6694.4,124
R0003,2026-07-31,49528,18855.3,44310.0,121
R0004,2026-07-31,25025,12477.5,29322.1,122
R0005,2026-07-31,15432,3513.9,8257.7,123
R0006,2026-07-31,17973,6939.4,16307.6,122
R0007,2026-07-31,18053,5524.2,12981.9,124
R0008,2026-07-31,11064,4162.3,9781.4,122
R0009,2026-07-31,28341,2984.3,7013.1,122
R0010,2026-07-31,11928,2726.7,6407.7,124
R0011,2026-07-31,45858,6190.8,14548.4,122
R0012,2026-07-31,16966,3481.4,8181.3,123
R0013,2026-07-31,12239,4317.9,10147.1,121
R0014,2026-07-31,28732,15929.0,37433.2,124
R0015,2026-07-31,12191,1426.3,3351.8,121
R0016,2026-07-31,20083,5458.6,12827.7,123
R0017,2026-07-31,15492,3346.3,7863.8,123
R0018,2026-07-31,60563,6649.8,15627.0,125
R0019,2026-07-31,18474,1380.0,3243.0,124
R0020,2026-07-31,23323,10915.2,25650.7,123
R0021,2026-07-31,15966,8219.3,19315.4,121
R0022,2026-07-31,13461,3113.5,7316.7,121
R0023,2026-07-31,14772,7790.8,18308.4,122
R0024,2026-07-31,16240,7512.6,17654.6,124
R0025,2026-07-31,14613,4971.3,11682.6,123
R0026,2026-07-31,16057,1416.2,3328.1,121
R0027,2026-07-31,19242,10338.7,24295.9,122
R0028,2026-07-31,17488,3305.2,7767.2,123
R0029,2026-07-31,35475,19475.8,45768.1,122
R0030,2026-07-31,18874,9138.8,21476.2,123
R0031,2026-07-31,27671,13448.1,31603.0,122
R0032,2026-07-31,45014,8507.6,19992.9,124
R0033,2026-07-31,14958,1130.8,2657.4,121
R0034,2026-07-31,13840,1843.5,4332.2,123
R0035,2026-07-31,17096,5785.3,13595.5,123
R0036,2026-07-31,26921,15240.0,35814.0,124
R0037,2026-07-31,33233,7238.1,17009.5,122
R0038,2026-07-31,13537,1328.0,3120.8,123
R0039,2026-07-31,15468,2269.2,5332.6,124
R0040,2026-07-31,51311,21381.3,50246.1,121
R0041,2026-07-31,16311,4257.2,10004.4,122
R0042,2026-07-31,16981,2002.1,4704.9,119
R0043,2026-07-31,31881,2955.4,6945.2,123
R0044,2026-07-31,18598,6226.6,14632.5,120
R0045,2026-07-31,14097,6013.8,14132.4,122
R0046,2026-07-31,23611,5822.5,13682.9,123
R0047,2026-07-31,31818,6500.4,15275.9,120
R0048,2026-07-31,12497,4296.5,10096.8,121
R0049,2026-07-31,51097,27270.5,64085.7,125
R0050,2026-07-31,29196,12980.5,30504.2,124
