simulation_id,scenario,road_id,traffic_reduction_pct,fuel_saved_l,delay_reduced_min,recommendation
SIM0001,Combined Strategy,R0043,10.9,159.0,9.2,Apply 'Combined Strategy' on R0043 — projected 10.9% congestion reduction
SIM0002,Signal Timing Change,R0015,32.3,279.6,11.2,Apply 'Signal Timing Change' on R0015 — projected 32.3% congestion reduction
SIM0003,Signal Timing Change,R0043,11.6,128.3,4.1,Apply 'Signal Timing Change' on R0043 — projected 11.6% congestion reduction
SIM0004,Vehicle Diversion,R0047,16.0,240.8,10.4,Apply 'Vehicle Diversion' on R0047 — projected 16.0% congestion reduction
SIM0005,Vehicle Diversion,R0003,20.8,250.9,15.1,Apply 'Vehicle Diversion' on R0003 — projected 20.8% congestion reduction
SIM0006,Bus Priority,R0033,29.6,359.8,10.4,Apply 'Bus Priority' on R0033 — projected 29.6% congestion reduction
SIM0007,Signal Timing Change,R0021,13.2,127.4,7.7,Apply 'Signal Timing Change' on R0021 — projected 13.2% congestion reduction
SIM0008,Emergency Corridor,R0036,8.8,119.3,3.8,Apply 'Emergency Corridor' on R0036 — projected 8.8% congestion reduction
SIM0009,Combined Strategy,R0013,26.9,224.1,17.0,Apply 'Combined Strategy' on R0013 — projected 26.9% congestion reduction
SIM0010,Heavy Vehicle Restriction,R0014,9.3,74.5,7.6,Apply 'Heavy Vehicle Restriction' on R0014 — projected 9.3% congestion reduction
SIM0011,Heavy Vehicle Restriction,R0026,24.8,227.8,17.3,Apply 'Heavy Vehicle Restriction' on R0026 — projected 24.8% congestion reduction
SIM0012,Bus Priority,R0008,23.0,314.6,12.7,Apply 'Bus Priority' on R0008 — projected 23.0% congestion reduction
SIM0013,Vehicle Diversion,R0014,31.5,344.7,17.0,Apply 'Vehicle Diversion' on R0014 — projected 31.5% congestion reduction
SIM0014,Signal Timing Change,R0023,14.2,245.0,12.1,Apply 'Signal Timing Change' on R0023 — projected 14.2% congestion reduction
SIM0015,Emergency Corridor,R0012,30.3,532.4,27.0,Apply 'Emergency Corridor' on R0012 — projected 30.3% congestion reduction
SIM0016,Signal Timing Change,R0026,25.6,435.5,22.8,Apply 'Signal Timing Change' on R0026 — projected 25.6% congestion reduction
SIM0017,Combined Strategy,R0021,4.2,65.6,3.1,Apply 'Combined Strategy' on R0021 — projected 4.2% congestion reduction
SIM0018,Signal Timing Change,R0025,32.5,604.7,26.2,Apply 'Signal Timing Change' on R0025 — projected 32.5% congestion reduction
SIM0019,Vehicle Diversion,R0030,33.3,481.1,10.1,Apply 'Vehicle Diversion' on R0030 — projected 33.3% congestion reduction
SIM0020,Vehicle Diversion,R0005,4.3,62.5,2.4,Apply 'Vehicle Diversion' on R0005 — projected 4.3% congestion reduction
SIM0021,Combined Strategy,R0018,18.0,230.5,15.3,Apply 'Combined Strategy' on R0018 — projected 18.0% congestion reduction
SIM0022,Combined Strategy,R0040,15.1,275.9,12.7,Apply 'Combined Strategy' on R0040 — projected 15.1% congestion reduction
