vehicle_id,current_speed_kmph,recommended_speed_kmph,next_signal_eta_sec,green_wave_status
V000138,46.8,51.2,48,False
V000285,27.7,21.7,68,False
V000326,25.5,28.0,30,True
V000660,32.9,29.6,83,True
V000806,30.2,34.4,27,False
V000779,28.2,24.0,66,False
V000041,49.2,52.1,71,True
V000534,38.3,35.0,47,True
V000811,32.1,24.2,28,False
V000425,37.7,39.8,36,True
V000664,21.3,15.1,37,False
V000833,22.0,24.5,35,True
V000296,44.8,51.6,11,False
V000769,33.0,40.5,56,False
V000025,33.7,29.5,83,False
V000235,18.2,23.1,23,False
V000868,18.4,16.1,28,True
V000751,22.9,29.3,58,False
V000340,35.9,40.5,64,False
V000351,15.7,15.0,31,True
V000249,36.3,34.8,17,True
V000211,39.1,36.5,22,True
V000553,28.7,33.3,55,False
V000056,40.5,39.1,70,True
V000929,14.2,17.2,32,True
V000940,20.9,22.5,16,True
V000681,39.7,47.3,25,False
V000255,27.7,34.7,75,False
V000821,2.0,15.0,53,False
V000704,30.9,34.5,85,True
V000713,41.5,46.8,65,False
V000737,28.7,35.1,29,False
V000228,22.2,15.3,90,False
V000623,41.8,38.6,61,True
V000894,25.1,22.2,41,True
V000391,26.5,25.5,14,True
V000993,37.0,31.7,25,False
V000330,31.5,31.4,40,True
V000188,26.9,29.5,60,True
V000453,31.7,31.7,72,True
V000645,16.2,18.9,48,True
V000007,41.6,34.7,86,False
V000067,21.9,27.9,32,False
V000891,19.1,26.1,58,False
V000504,34.8,36.7,21,True
V000072,28.8,34.9,69,False
V000198,20.9,15.0,58,False
V000054,21.8,26.6,45,False
V000650,23.1,17.0,90,False
V000145,34.7,33.2,66,True
V000210,36.9,34.1,57,True
V000129,16.8,18.2,11,True
V000094,26.2,23.0,25,True
V000178,22.2,24.4,24,True
V000607,43.1,41.0,20,True
V000563,36.4,42.2,25,False
V000852,21.4,23.5,72,True
V000815,48.2,43.6,75,False
V000950,27.1,24.5,38,True
V000242,49.7,55.3,12,False
V000520,28.3,26.5,85,True
V000081,31.2,31.8,83,True
V000437,38.9,41.3,83,True
V000743,34.7,32.3,71,True
V000479,21.3,18.0,45,True
V000319,35.4,35.0,22,True
V000169,34.4,29.8,85,False
V000739,25.4,21.9,33,True
V000203,5.5,15.0,59,False
V000251,21.2,18.1,71,True
V000435,33.7,30.8,65,True
V000181,14.2,21.6,48,False
V000621,32.7,34.1,83,True
V000973,36.6,41.2,26,False
V000311,34.4,27.1,22,False
V000293,30.3,24.0,51,False
V000591,10.8,15.8,18,False
V000460,26.6,28.6,78,True
V000651,30.7,25.8,33,False
V000207,41.4,39.9,61,True
V000279,34.0,34.6,12,True
V000884,27.6,33.1,60,False
V000801,19.5,15.0,81,False
V000493,41.3,42.8,78,True
V000082,23.7,27.2,77,True
V000369,28.8,36.4,72,False
V000408,29.8,34.7,18,False
V000387,31.2,27.6,76,True
V000172,27.8,31.2,84,True
V000483,28.3,32.5,78,False
V000452,31.9,35.6,25,True
V000433,24.9,30.0,36,False
V000518,34.5,41.0,25,False
V000625,25.5,19.1,33,False
V000753,34.2,27.9,86,False
V000444,18.7,23.4,33,False
V000995,38.3,34.3,10,False
V000160,26.0,18.9,81,False
V000840,63.1,60.0,67,True
V000813,27.9,33.0,50,False
V000494,37.6,31.6,25,False
V000021,35.6,38.3,15,True
V000781,37.0,29.1,26,False
V000965,23.5,17.3,83,False
V000438,34.1,31.7,36,True
V000875,22.5,15.8,30,False
V000086,32.1,37.6,21,False
V000778,34.3,40.1,81,False
V000308,31.3,35.4,42,False
V000610,31.1,27.0,14,False
V000551,7.8,15.0,20,False
V000157,3.3,15.0,25,False
V000567,21.5,18.0,74,True
V000745,37.7,38.0,48,True
V000180,45.6,49.4,56,True
V000264,46.1,39.6,79,False
V000390,19.7,16.4,31,True
V000475,27.7,34.5,64,False
V000314,27.0,25.9,10,True
V000465,32.4,39.4,41,False
V000291,40.2,48.1,48,False
