road_id,has_bridge,road_stress_pct,bridge_stress_pct,maintenance_score,road_health
R0001,False,24.3,,79.3,Good
R0002,False,23.6,,77.2,Good
R0003,False,49.5,,57.7,Fair
R0004,False,43.4,,61.7,Fair
R0005,True,19.9,15.3,82.3,Good
R0006,False,20.2,,81.7,Good
R0007,False,25.1,,77.3,Good
R0008,False,15.7,,85.4,Good
R0009,True,24.8,16.6,77.0,Good
R0010,False,14.4,,87.5,Good
R0011,False,91.5,,10.1,Critical
R0012,False,86.2,,18.9,Critical
R0013,False,25.7,,74.5,Fair
R0014,False,84.8,,22.6,Critical
R0015,True,83.7,61.9,26.0,Poor
R0016,False,24.7,,76.3,Good
R0017,False,26.3,,78.7,Good
R0018,True,45.4,33.4,61.9,Fair
R0019,True,51.4,40.4,51.1,Fair
R0020,False,13.0,,88.5,Good
R0021,False,47.8,,60.5,Fair
R0022,True,82.2,61.7,23.5,Critical
R0023,False,52.5,,49.3,Poor
R0024,False,27.6,,73.3,Fair
R0025,False,50.7,,53.6,Fair
R0026,True,20.3,17.3,80.4,Good
R0027,False,14.9,,87.9,Good
R0028,True,52.2,31.6,48.0,Poor
R0029,False,23.7,,79.5,Good
R0030,False,73.2,,29.5,Poor
R0031,False,15.9,,84.8,Good
R0032,False,49.9,,57.6,Fair
R0033,False,12.7,,89.3,Good
R0034,False,15.2,,87.6,Good
R0035,True,48.6,38.3,52.5,Fair
R0036,True,41.0,39.7,62.0,Fair
R0037,False,26.0,,76.5,Good
R0038,False,18.0,,82.5,Good
R0039,False,42.0,,65.7,Fair
R0040,False,19.1,,81.7,Good
R0041,False,77.5,,28.9,Poor
R0042,False,71.5,,29.5,Poor
R0043,False,16.6,,85.8,Good
R0044,False,19.0,,83.4,Good
R0045,False,48.8,,54.7,Fair
R0046,True,74.1,72.0,27.0,Poor
R0047,False,43.9,,56.2,Fair
R0048,False,65.5,,38.2,Poor
R0049,False,85.5,,17.6,Critical
R0050,False,19.6,,81.2,Good
