feedback_id,prediction_id,road_id,predicted_density_pct,actual_density_pct,difference,accuracy,model_updated
FB00001,PRED000798,R0034,33.3,39.5,6.2,0.938,False
FB00002,PRED001059,R0045,47.9,49.5,1.6,0.984,False
FB00003,PRED000603,R0026,42.4,39.7,2.7,0.973,False
FB00004,PRED000028,R0002,36.5,41.7,5.2,0.948,False
FB00005,PRED000918,R0039,31.5,37.7,6.2,0.938,False
FB00006,PRED000893,R0038,37.9,31.2,6.7,0.933,False
FB00007,PRED000773,R0033,41.0,48.7,7.7,0.923,False
FB00008,PRED000434,R0019,49.9,51.7,1.8,0.982,False
FB00009,PRED000006,R0001,35.1,36.5,1.4,0.986,False
FB00010,PRED000698,R0030,37.4,42.4,5.0,0.95,False
FB00011,PRED000940,R0040,34.9,32.1,2.8,0.972,False
FB00012,PRED000220,R0010,33.4,38.2,4.8,0.952,False
FB00013,PRED000867,R0037,34.4,32.5,1.9,0.981,False
FB00014,PRED000172,R0008,30.4,23.0,7.4,0.926,False
FB00015,PRED000723,R0031,43.5,38.5,5.0,0.95,False
FB00016,PRED000870,R0037,36.2,39.0,2.8,0.972,False
FB00017,PRED001154,R0049,32.1,27.4,4.7,0.953,False
FB00018,PRED000842,R0036,40.9,49.0,8.1,0.919,False
FB00019,PRED000581,R0025,46.2,52.1,5.9,0.941,False
FB00020,PRED000652,R0028,48.7,55.4,6.7,0.933,False
FB00021,PRED000313,R0014,41.8,42.4,0.6,0.994,False
FB00022,PRED000438,R0019,46.3,47.6,1.3,0.987,False
FB00023,PRED000988,R0042,31.3,25.3,6.0,0.94,False
FB00024,PRED000989,R0042,40.6,45.6,5.0,0.95,False
FB00025,PRED000411,R0018,31.0,32.9,1.9,0.981,False
FB00026,PRED000169,R0008,26.0,28.8,2.8,0.972,False
FB00027,PRED001110,R0047,33.3,41.7,8.4,0.916,False
FB00028,PRED001178,R0050,30.8,27.8,3.0,0.97,False
FB00029,PRED000626,R0027,38.5,37.9,0.6,0.994,False
FB00030,PRED000941,R0040,32.5,34.1,1.6,0.984,False
FB00031,PRED000054,R0003,43.5,38.8,4.7,0.953,False
FB00032,PRED000651,R0028,49.5,48.6,0.9,0.991,False
FB00033,PRED000124,R0006,37.5,40.0,2.5,0.975,False
FB00034,PRED000097,R0005,34.9,33.3,1.6,0.984,False
FB00035,PRED000846,R0036,38.0,44.5,6.5,0.935,False
FB00036,PRED000462,R0020,38.4,30.8,7.6,0.924,False
FB00037,PRED000026,R0002,18.7,24.3,5.6,0.944,False
FB00038,PRED000361,R0016,31.7,35.0,3.3,0.967,False
FB00039,PRED000173,R0008,31.8,29.0,2.8,0.972,False
FB00040,PRED000290,R0013,31.3,26.7,4.6,0.954,False
FB00041,PRED000364,R0016,36.6,26.2,10.4,0.896,False
FB00042,PRED000293,R0013,37.5,33.5,4.0,0.96,False
FB00043,PRED001133,R0048,47.9,53.1,5.2,0.948,False
FB00044,PRED000241,R0011,34.4,34.1,0.3,0.997,False
FB00045,PRED000294,R0013,37.1,42.9,5.8,0.942,False
FB00046,PRED000244,R0011,49.9,46.8,3.1,0.969,False
FB00047,PRED000937,R0040,30.6,34.1,3.5,0.965,False
FB00048,PRED000914,R0039,31.7,28.1,3.6,0.964,False
FB00049,PRED000436,R0019,37.9,33.1,4.8,0.952,False
FB00050,PRED000916,R0039,32.2,31.7,0.5,0.995,False
FB00051,PRED000721,R0031,44.4,41.1,3.3,0.967,False
FB00052,PRED000577,R0025,41.8,34.1,7.7,0.923,False
FB00053,PRED000942,R0040,31.1,30.2,0.9,0.991,False
FB00054,PRED000292,R0013,38.8,39.3,0.5,0.995,False
FB00055,PRED001180,R0050,39.6,45.9,6.3,0.937,False
FB00056,PRED001107,R0047,29.5,34.2,4.7,0.953,False
FB00057,PRED000386,R0017,46.3,52.4,6.1,0.939,False
FB00058,PRED000363,R0016,37.5,41.1,3.6,0.964,False
FB00059,PRED000769,R0033,33.8,35.5,1.7,0.983,False
FB00060,PRED000098,R0005,43.3,37.2,6.1,0.939,False
FB00061,PRED000917,R0039,41.0,41.7,0.7,0.993,False
FB00062,PRED000222,R0010,42.5,45.5,3.0,0.97,False
FB00063,PRED000025,R0002,28.2,35.5,7.3,0.927,False
FB00064,PRED000726,R0031,50.6,54.0,3.4,0.966,False
FB00065,PRED000678,R0029,40.1,46.3,6.2,0.938,False
FB00066,PRED000121,R0006,44.2,39.0,5.2,0.948,False
FB00067,PRED000077,R0004,45.6,44.0,1.6,0.984,False
FB00068,PRED001013,R0043,45.1,47.2,2.1,0.979,False
FB00069,PRED000219,R0010,43.5,49.3,5.8,0.942,False
FB00070,PRED000745,R0032,36.5,35.8,0.7,0.993,False
FB00071,PRED000433,R0019,47.4,47.0,0.4,0.996,False
FB00072,PRED000505,R0022,28.8,32.2,3.4,0.966,False
FB00073,PRED000915,R0039,37.9,32.3,5.6,0.944,False
FB00074,PRED000770,R0033,33.6,41.6,8.0,0.92,False
FB00075,PRED000508,R0022,34.9,30.5,4.4,0.956,False
FB00076,PRED001129,R0048,36.6,27.0,9.6,0.904,False
FB00077,PRED000317,R0014,41.8,41.9,0.1,0.999,False
FB00078,PRED000337,R0015,34.0,42.5,8.5,0.915,False
FB00079,PRED000265,R0012,54.8,57.7,2.9,0.971,False
FB00080,PRED001153,R0049,35.4,39.2,3.8,0.962,False
FB00081,PRED000650,R0028,36.5,36.7,0.2,0.998,False
FB00082,PRED000605,R0026,48.3,47.5,0.8,0.992,False
FB00083,PRED000074,R0004,43.7,36.0,7.7,0.923,False
FB00084,PRED000485,R0021,34.9,23.6,11.3,0.887,False
FB00085,PRED000314,R0014,50.6,51.6,1.0,0.99,False
FB00086,PRED000457,R0020,40.9,47.5,6.6,0.934,False
FB00087,PRED000461,R0020,54.9,56.6,1.7,0.983,False
FB00088,PRED000289,R0013,48.1,51.2,3.1,0.969,False
FB00089,PRED000052,R0003,36.2,44.1,7.9,0.921,False
FB00090,PRED000029,R0002,37.1,38.7,1.6,0.984,False
FB00091,PRED000771,R0033,36.0,35.4,0.6,0.994,False
FB00092,PRED000390,R0017,45.6,41.5,4.1,0.959,False
FB00093,PRED000267,R0012,42.8,52.9,10.1,0.899,False
FB00094,PRED000891,R0038,35.3,37.9,2.6,0.974,False
FB00095,PRED000146,R0007,44.5,39.8,4.7,0.953,False
FB00096,PRED000053,R0003,35.8,29.9,5.9,0.941,False
FB00097,PRED000702,R0030,44.4,50.7,6.3,0.937,False
FB00098,PRED000580,R0025,36.4,31.2,5.2,0.948,False
FB00099,PRED001085,R0046,45.7,55.0,9.3,0.907,False
FB00100,PRED000266,R0012,39.1,25.3,13.8,0.862,True
FB00101,PRED000913,R0039,38.0,45.1,7.1,0.929,False
FB00102,PRED000268,R0012,43.4,45.8,2.4,0.976,False
FB00103,PRED000122,R0006,36.5,37.1,0.6,0.994,False
FB00104,PRED000724,R0031,45.0,44.1,0.9,0.991,False
FB00105,PRED001058,R0045,45.6,55.1,9.5,0.905,False
FB00106,PRED000892,R0038,38.1,41.6,3.5,0.965,False
FB00107,PRED000555,R0024,30.9,26.4,4.5,0.955,False
FB00108,PRED000073,R0004,48.2,39.6,8.6,0.914,False
FB00109,PRED000722,R0031,40.0,40.9,0.9,0.991,False
FB00110,PRED000385,R0017,34.7,34.7,0.0,1.0,False
FB00111,PRED000529,R0023,34.5,26.9,7.6,0.924,False
FB00112,PRED001037,R0044,41.3,41.0,0.3,0.997,False
FB00113,PRED000339,R0015,41.2,38.3,2.9,0.971,False
FB00114,PRED000987,R0042,40.2,40.2,0.0,1.0,False
FB00115,PRED000966,R0041,45.9,49.5,3.6,0.964,False
FB00116,PRED000459,R0020,41.1,48.6,7.5,0.925,False
FB00117,PRED000579,R0025,49.8,54.3,4.5,0.955,False
FB00118,PRED001157,R0049,50.1,46.5,3.6,0.964,False
FB00119,PRED000774,R0033,45.0,46.8,1.8,0.982,False
FB00120,PRED000819,R0035,44.4,44.7,0.3,0.997,False
FB00121,PRED000218,R0010,40.4,33.7,6.7,0.933,False
FB00122,PRED000677,R0029,45.9,47.9,2.0,0.98,False
FB00123,PRED000725,R0031,43.8,53.1,9.3,0.907,False
FB00124,PRED000654,R0028,43.7,43.9,0.2,0.998,False
FB00125,PRED000554,R0024,32.2,24.2,8.0,0.92,False
FB00126,PRED001010,R0043,49.0,49.2,0.2,0.998,False
FB00127,PRED000147,R0007,40.8,34.7,6.1,0.939,False
FB00128,PRED000486,R0021,38.8,43.1,4.3,0.957,False
FB00129,PRED000772,R0033,40.8,43.4,2.6,0.974,False
FB00130,PRED001130,R0048,41.8,40.9,0.9,0.991,False
FB00131,PRED000534,R0023,40.5,38.8,1.7,0.983,False
FB00132,PRED000437,R0019,47.6,46.5,1.1,0.989,False
FB00133,PRED000673,R0029,47.0,47.0,0.0,1.0,False
FB00134,PRED000460,R0020,44.2,40.3,3.9,0.961,False
FB00135,PRED001106,R0047,34.7,27.8,6.9,0.931,False
FB00136,PRED001082,R0046,29.5,35.2,5.7,0.943,False
FB00137,PRED000606,R0026,42.6,40.7,1.9,0.981,False
FB00138,PRED000699,R0030,46.2,47.0,0.8,0.992,False
FB00139,PRED000701,R0030,39.8,41.2,1.4,0.986,False
FB00140,PRED000003,R0001,43.8,45.4,1.6,0.984,False
FB00141,PRED000458,R0020,34.1,28.2,5.9,0.941,False
FB00142,PRED000558,R0024,32.5,24.1,8.4,0.916,False
FB00143,PRED000700,R0030,45.1,42.2,2.9,0.971,False
FB00144,PRED000481,R0021,51.6,53.6,2.0,0.98,False
FB00145,PRED000841,R0036,35.2,31.6,3.6,0.964,False
FB00146,PRED001035,R0044,39.2,37.4,1.8,0.982,False
FB00147,PRED000506,R0022,42.3,52.9,10.6,0.894,False
FB00148,PRED000291,R0013,50.1,40.9,9.2,0.908,False
FB00149,PRED000102,R0005,46.7,42.9,3.8,0.962,False
FB00150,PRED000318,R0014,42.2,51.7,9.5,0.905,False
FB00151,PRED001062,R0045,41.7,41.5,0.2,0.998,False
FB00152,PRED000414,R0018,43.6,40.1,3.5,0.965,False
FB00153,PRED000890,R0038,35.3,41.1,5.8,0.942,False
FB00154,PRED000627,R0027,30.3,30.6,0.3,0.997,False
FB00155,PRED001109,R0047,38.8,37.1,1.7,0.983,False
FB00156,PRED000985,R0042,32.6,33.6,1.0,0.99,False
FB00157,PRED000889,R0038,33.3,30.0,3.3,0.967,False
FB00158,PRED000246,R0011,41.5,36.4,5.1,0.949,False
FB00159,PRED000793,R0034,44.4,43.8,0.6,0.994,False
FB00160,PRED000338,R0015,42.0,36.9,5.1,0.949,False
FB00161,PRED000844,R0036,37.1,37.2,0.1,0.999,False
FB00162,PRED000628,R0027,32.0,33.8,1.8,0.982,False
FB00163,PRED000049,R0003,34.5,38.8,4.3,0.957,False
FB00164,PRED000126,R0006,51.2,56.8,5.6,0.944,False
FB00165,PRED000101,R0005,40.9,38.9,2.0,0.98,False
FB00166,PRED000557,R0024,30.9,33.4,2.5,0.975,False
FB00167,PRED001131,R0048,42.3,44.8,2.5,0.975,False
FB00168,PRED001011,R0043,47.5,49.1,1.6,0.984,False
FB00169,PRED000675,R0029,46.7,44.3,2.4,0.976,False
FB00170,PRED000196,R0009,33.5,28.4,5.1,0.949,False
FB00171,PRED000366,R0016,26.6,29.1,2.5,0.975,False
FB00172,PRED000821,R0035,42.2,33.7,8.5,0.915,False
FB00173,PRED000986,R0042,30.7,29.4,1.3,0.987,False
FB00174,PRED000150,R0007,45.6,32.8,12.8,0.872,True
FB00175,PRED000342,R0015,28.2,21.5,6.7,0.933,False
FB00176,PRED000965,R0041,36.8,32.4,4.4,0.956,False
FB00177,PRED000533,R0023,27.1,32.6,5.5,0.945,False
FB00178,PRED000099,R0005,30.7,34.1,3.4,0.966,False
FB00179,PRED001158,R0049,40.7,37.9,2.8,0.972,False
FB00180,PRED000556,R0024,37.9,41.5,3.6,0.964,False
FB00181,PRED000795,R0034,44.4,48.8,4.4,0.956,False
FB00182,PRED000001,R0001,39.0,38.2,0.8,0.992,False
FB00183,PRED001061,R0045,36.0,29.1,6.9,0.931,False
FB00184,PRED001083,R0046,32.9,31.9,1.0,0.99,False
FB00185,PRED000389,R0017,38.4,37.9,0.5,0.995,False
FB00186,PRED001034,R0044,50.0,43.8,6.2,0.938,False
FB00187,PRED001012,R0043,35.9,37.7,1.8,0.982,False
FB00188,PRED000676,R0029,42.1,43.5,1.4,0.986,False
FB00189,PRED000387,R0017,42.6,44.8,2.2,0.978,False
FB00190,PRED000145,R0007,51.1,52.5,1.4,0.986,False
FB00191,PRED000242,R0011,22.5,26.1,3.6,0.964,False
FB00192,PRED000601,R0026,40.7,39.8,0.9,0.991,False
FB00193,PRED000939,R0040,19.6,20.6,1.0,0.99,False
FB00194,PRED000797,R0034,29.1,27.1,2.0,0.98,False
FB00195,PRED000963,R0041,30.5,27.6,2.9,0.971,False
FB00196,PRED000030,R0002,34.5,41.2,6.7,0.933,False
FB00197,PRED001179,R0050,23.1,12.9,10.2,0.898,False
FB00198,PRED001060,R0045,41.4,45.8,4.4,0.956,False
FB00199,PRED000100,R0005,33.2,30.1,3.1,0.969,False
FB00200,PRED000868,R0037,19.3,15.5,3.8,0.962,False
