log_id,timestamp,junction_id,neighbor_junction_id,message_type,priority_class,day_type,is_festival,is_rain,is_accident,proposed_green_time_sec,counter_offer_time_sec,final_agreed_time_sec,negotiation_rounds,response_latency_ms,congestion_index,avg_speed_kmph,waiting_time_sec,travel_time_sec,fuel_consumption_l,co2_emission_kg,confidence_score,recommendation_reason
LOG1000000,2026-05-19 06:10:45.000000,J007,J002,COUNTER,Bus,Weekday,False,False,False,50.5,36.5,39.2,2,334,0.147,33.2,12.0,72.5,0.051,0.119,0.947,Bus priority granted - green extension issued to reduce transit delay
LOG1000001,2025-06-15 17:10:07.000000,J017,J031,GRANT,Bus,Weekend,False,False,False,66.1,66.1,69.5,1,203,0.287,38.3,12.4,87.4,0.075,0.173,0.971,Bus priority granted - green extension issued to reduce transit delay
LOG1000002,2025-11-14 10:22:59.000000,J012,J036,GRANT,Normal,Weekday,False,False,False,56.2,56.2,57.4,1,285,0.492,31.0,32.2,77.0,0.057,0.132,0.949,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000003,2025-09-04 18:03:03.000000,J030,J015,DENY_THEN_COUNTER,Normal,Weekday,False,True,False,90.0,54.8,61.9,4,415,0.904,11.1,59.6,229.9,0.111,0.256,0.848,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
LOG1000004,2026-02-28 10:16:29.000000,J040,J008,COUNTER,Normal,Weekend,False,False,False,53.8,31.2,38.2,2,329,0.425,21.6,26.1,90.1,0.058,0.134,0.942,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000005,2025-06-15 10:29:27.000000,J033,J007,COUNTER,Normal,Weekend,False,True,False,73.5,58.2,65.7,2,360,0.669,18.4,48.7,189.4,0.103,0.237,0.915,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
LOG1000006,2026-01-29 10:33:15.000000,J008,J018,DENY_THEN_COUNTER,Bus,Weekday,False,False,False,73.7,52.4,55.6,4,416,0.415,24.0,23.6,104.9,0.047,0.108,0.941,Bus priority granted - green extension issued to reduce transit delay
LOG1000007,2025-10-31 08:03:58.000000,J002,J018,DENY_THEN_COUNTER,Normal,Weekday,False,True,False,87.4,71.0,77.0,3,394,0.824,15.8,57.2,144.0,0.083,0.192,0.914,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
LOG1000008,2025-03-16 19:46:05.000000,J034,J019,GRANT,Normal,Weekend,False,False,False,50.0,50.0,48.4,1,216,0.451,31.2,29.7,82.6,0.063,0.146,0.952,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000009,2025-08-11 06:23:12.000000,J029,J004,GRANT,Normal,Weekday,False,True,False,50.5,50.5,48.8,1,186,0.461,30.6,31.0,89.1,0.055,0.128,0.906,Light rain detected - minor speed reduction advised
