incident_id,timestamp,corridor_id,emergency_type,num_junctions_total,num_junctions_cleared,corridor_length_km,day_type,is_festival,weather_condition,is_rain,rainfall_mm,is_accident_nearby,preemption_success,background_congestion_index,emergency_vehicle_speed_kmph,response_time_sec,waiting_time_sec_other_traffic,fuel_consumption_l,co2_emission_kg,confidence_score,recommendation_reason
EMG300000,2026-01-15 11:13:21,South_Loop,Ambulance,5,4,1.96,Weekday,True,Clear,False,0.0,False,True,0.527,47.4,129.8,128.6,0.156,0.359,0.94,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300001,2026-02-27 13:37:04,Central_Loop,Ambulance,6,6,4.03,Weekday,False,Clear,False,0.0,False,True,0.121,50.0,311.1,117.9,0.34,0.785,0.962,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300002,2025-09-04 09:14:05,Hosur_Rd,Police Escort,2,2,0.85,Weekday,False,Clear,False,0.0,False,True,0.975,42.2,74.2,109.4,0.078,0.181,0.972,Police escort priority active - rolling signal clearance along corridor
EMG300003,2026-02-03 20:25:43,Mysore_Rd,Ambulance,4,3,3.17,Weekday,False,Clear,False,0.0,False,True,0.531,48.5,232.0,116.6,0.289,0.668,0.975,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300004,2026-01-16 12:39:52,South_Loop,Police Escort,5,4,3.29,Weekday,False,Clear,False,0.0,False,True,0.148,47.7,244.1,62.6,0.273,0.63,0.956,Police escort priority active - rolling signal clearance along corridor
EMG300005,2025-01-15 19:42:24,Hosur_Rd,Ambulance,2,2,1.14,Weekday,True,Clear,False,0.0,False,True,1.0,45.3,89.1,121.5,0.117,0.27,0.904,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300006,2025-01-29 13:31:16,Central_Loop,Ambulance,6,5,2.93,Weekday,False,Clear,False,0.0,False,True,0.114,52.0,189.4,109.8,0.258,0.596,0.99,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300007,2025-08-26 13:52:59,ORR_North,Ambulance,4,3,2.35,Weekday,False,Clear,False,0.0,False,True,0.118,43.5,188.8,48.8,0.202,0.466,0.97,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300008,2025-10-17 12:16:05,Mysore_Rd,Police Escort,4,3,3.46,Weekday,False,Fog,False,0.0,False,True,0.22,48.6,250.9,67.1,0.317,0.731,0.947,Police escort priority active - rolling signal clearance along corridor
EMG300009,2025-02-22 17:18:39,Old_Airport_Rd,Ambulance,5,4,2.06,Weekend,False,Clear,False,0.0,False,True,0.552,45.2,160.1,114.3,0.178,0.411,0.961,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300010,2025-08-09 16:59:17,Sarjapur_Rd,Police Escort,4,3,2.6,Weekend,False,Fog,False,0.0,False,True,0.479,40.3,223.8,79.3,0.224,0.518,0.952,Police escort priority active - rolling signal clearance along corridor
EMG300011,2025-01-25 20:40:37,Old_Airport_Rd,Ambulance,5,5,3.2,Weekend,False,Clear,False,0.0,False,True,0.315,54.4,213.8,161.2,0.284,0.655,0.968,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300012,2025-01-13 18:19:33,Mysore_Rd,Police Escort,4,4,2.64,Weekday,False,Clear,False,0.0,False,True,0.937,53.2,166.2,187.0,0.238,0.551,0.97,Police escort priority active - rolling signal clearance along corridor
EMG300013,2025-07-01 10:05:19,Central_Loop,Ambulance,6,6,3.12,Weekday,False,Rain,True,9.3,False,True,0.915,56.3,205.1,251.2,0.296,0.684,0.927,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300014,2025-11-06 19:27:44,Central_Loop,Police Escort,6,6,3.91,Weekday,False,Clear,False,0.0,False,True,0.892,50.6,264.3,252.4,0.346,0.8,0.954,Police escort priority active - rolling signal clearance along corridor
EMG300015,2026-01-12 19:49:34,South_Loop,Ambulance,5,5,2.23,Weekday,False,Clear,False,0.0,False,True,0.751,44.4,175.8,152.8,0.182,0.421,0.954,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300016,2026-03-04 08:28:30,Sarjapur_Rd,Ambulance,4,3,2.37,Weekday,True,Clear,False,0.0,False,True,1.0,43.4,206.8,140.0,0.214,0.494,0.941,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300017,2025-04-05 09:38:20,Sarjapur_Rd,Ambulance,4,4,2.8,Weekend,False,Clear,False,0.0,False,True,0.727,48.3,212.3,129.2,0.269,0.622,0.981,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300018,2025-04-23 21:40:34,South_Loop,Police Escort,5,4,3.32,Weekday,False,Light Rain,True,0.2,False,True,0.316,45.8,251.0,116.6,0.283,0.653,0.892,Police escort priority active - rolling signal clearance along corridor
EMG300019,2026-04-01 00:32:32,Hosur_Rd,Ambulance,2,1,1.39,Weekday,False,Rain,True,13.3,False,True,0.258,50.0,91.1,34.8,0.128,0.296,0.901,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300020,2025-09-06 16:32:47,Mysore_Rd,Police Escort,4,3,1.59,Weekend,True,Clear,False,0.0,False,True,0.596,51.5,116.9,79.0,0.138,0.319,0.917,Police escort priority active - rolling signal clearance along corridor
EMG300021,2025-10-23 03:04:36,Tumkur_Rd,Ambulance,3,2,1.82,Weekday,False,Clear,False,0.0,False,True,0.118,46.0,150.6,22.0,0.149,0.343,0.988,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300022,2026-03-20 14:30:58,South_Loop,Ambulance,5,5,2.82,Weekday,True,Clear,False,0.0,False,True,0.453,48.7,205.9,165.5,0.255,0.589,0.871,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300023,2025-06-10 11:30:59,Hosur_Rd,Ambulance,2,2,1.16,Weekday,False,Heavy Rain,True,41.0,False,True,0.634,43.0,97.6,95.1,0.107,0.246,0.913,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300024,2025-10-17 14:35:11,South_Loop,Fire Truck,5,5,3.5,Weekday,False,Clear,False,0.0,False,True,0.159,54.4,218.4,73.2,0.309,0.714,0.971,Fire truck priority active - full corridor signal preemption engaged
EMG300025,2025-07-23 18:54:26,Old_Airport_Rd,Ambulance,5,5,3.12,Weekday,False,Heavy Rain,True,53.3,False,True,1.0,47.9,230.8,281.2,0.277,0.64,0.911,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300026,2025-08-04 12:33:34,Mysore_Rd,Police Escort,4,4,2.43,Weekday,False,Light Rain,True,4.0,False,True,0.201,57.7,154.4,114.9,0.216,0.498,0.916,Police escort priority active - rolling signal clearance along corridor
EMG300027,2025-07-19 09:37:27,ORR_East,Ambulance,4,4,2.96,Weekend,False,Clear,False,0.0,False,True,0.77,46.0,228.2,161.4,0.271,0.626,0.975,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300028,2025-06-20 17:43:41,Mysore_Rd,Fire Truck,4,4,1.32,Weekday,False,Heavy Rain,True,34.7,False,True,1.0,36.8,118.9,199.0,0.114,0.263,0.893,Fire truck priority active - full corridor signal preemption engaged
EMG300029,2025-10-06 16:31:57,Central_Loop,Ambulance,6,6,4.61,Weekday,False,Light Rain,True,7.2,False,True,0.604,42.4,401.6,158.5,0.415,0.959,0.901,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300030,2025-02-08 17:11:23,ORR_East,Ambulance,4,4,2.4,Weekend,False,Clear,False,0.0,False,True,0.527,47.0,190.9,99.8,0.207,0.478,0.97,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300031,2025-10-18 11:51:36,Mysore_Rd,Fire Truck,4,3,2.63,Weekend,False,Clear,False,0.0,False,True,0.159,42.2,213.5,60.1,0.219,0.506,0.963,Fire truck priority active - full corridor signal preemption engaged
EMG300032,2025-11-20 10:35:32,Central_Loop,Fire Truck,6,6,3.79,Weekday,False,Clear,False,0.0,False,True,0.59,47.5,281.2,230.6,0.333,0.77,0.976,Fire truck priority active - full corridor signal preemption engaged
EMG300033,2026-06-01 06:36:38,ORR_North,Ambulance,4,3,1.91,Weekday,False,Clear,False,0.0,False,True,0.395,51.0,134.1,59.9,0.16,0.369,0.99,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300034,2025-07-28 09:54:35,Central_Loop,Police Escort,6,5,3.0,Weekday,False,Heavy Rain,True,33.2,False,True,1.0,33.9,317.3,241.0,0.281,0.648,0.934,Police escort priority active - rolling signal clearance along corridor
EMG300035,2025-09-02 17:24:07,ORR_East,Police Escort,4,4,1.69,Weekday,False,Heavy Rain,True,26.6,False,True,1.0,41.3,136.0,210.6,0.166,0.384,0.933,Police escort priority active - rolling signal clearance along corridor
EMG300036,2025-09-22 13:29:59,Old_Airport_Rd,Ambulance,5,4,1.84,Weekday,False,Rain,True,20.1,False,True,0.372,48.8,128.7,103.6,0.156,0.361,0.904,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300037,2025-02-08 16:21:55,ORR_North,Ambulance,4,3,2.32,Weekend,False,Clear,False,0.0,False,True,0.402,52.0,170.2,69.3,0.186,0.431,0.964,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300038,2025-12-12 08:30:23,Mysore_Rd,Police Escort,4,3,2.51,Weekday,False,Clear,False,0.0,False,True,0.924,46.2,196.4,127.0,0.215,0.497,0.973,Police escort priority active - rolling signal clearance along corridor
EMG300039,2026-02-02 16:05:43,ORR_East,Police Escort,4,3,2.61,Weekday,False,Clear,False,0.0,False,True,0.311,43.3,211.2,58.7,0.23,0.531,0.951,Police escort priority active - rolling signal clearance along corridor
EMG300040,2025-12-02 13:49:26,Old_Airport_Rd,Ambulance,5,5,1.69,Weekday,False,Clear,False,0.0,False,True,0.137,53.1,114.5,92.1,0.168,0.387,0.942,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300041,2025-08-26 08:52:41,Sarjapur_Rd,Ambulance,4,3,1.9,Weekday,False,Rain,True,10.5,False,True,1.0,40.1,164.8,119.7,0.179,0.414,0.92,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300042,2026-05-30 17:38:10,Hosur_Rd,Police Escort,2,1,1.0,Weekend,False,Clear,False,0.0,False,True,0.654,49.6,78.9,58.9,0.079,0.182,0.961,Police escort priority active - rolling signal clearance along corridor
EMG300043,2026-05-05 12:22:50,Sarjapur_Rd,Ambulance,4,4,2.5,Weekday,False,Clear,False,0.0,False,True,0.171,45.9,187.6,90.7,0.2,0.461,0.967,Ambulance priority active - all conflicting signals preempted for corridor clearance
